family,engine,K,T,grads,rep,contract_ratio,contract_ratio_dbl,dbl_pass,theta_err,theta_err_norm,accept
funnel2,grid,128,2,False,5,0.5062591178374981,0.504188171217533,True,0.8862287956391163,0.7236027824356379,0.688
funnel2,grid,128,2,True,5,0.5051780636285896,0.5031104412821443,True,0.8862968021486964,0.7236583088205976,0.688
funnel2,grid,128,5,False,0,0.48808371040818194,0.48652931971352503,True,0.8709791549920909,0.7111515028966764,0.75
funnel2,grid,128,5,True,0,0.4566786951344959,0.45542256619956234,True,0.7169874564484495,0.5854179385476171,0.75
funnel2,grid,128,5,False,1,0.5063972719669118,0.5043268064833752,True,1.0516367330284218,0.8586578798099247,0.539
funnel2,grid,128,5,True,1,0.504925216642835,0.5028830391992593,True,1.0477572315346158,0.8554902196919748,0.539
funnel2,grid,128,5,False,2,0.22833436015319056,0.22766838684061297,True,0.2801959633082008,0.4574592398987704,1.0
funnel2,grid,128,5,True,2,0.05645632932348498,0.05627293520042951,True,0.05812437422199534,0.09488966244791014,1.0
funnel2,grid,128,5,False,3,0.17218386037740863,0.17205956673090547,True,0.11258947757991014,0.09192933803841752,0.742
funnel2,grid,128,5,True,3,0.16092666921485901,0.16083497752094844,True,0.10105942812349643,0.08251468939168169,0.742
funnel2,grid,128,5,False,4,0.3351210414660452,0.33421742092415413,True,0.577291183244422,0.4713563989554951,0.375
funnel2,grid,128,5,True,4,0.3011434517405655,0.30030252319913087,True,0.47843719294300285,0.3906423334879197,0.375
funnel2,grid,128,5,False,5,0.06269751100069709,0.06267211355843896,True,0.012557986955404625,0.010254677108772285,0.984
funnel2,grid,128,5,True,5,0.04996612004109015,0.04996262452778693,True,0.008435923186600528,0.006887988403598046,0.984
funnel2,grid,512,1,False,0,0.006109538673190858,0.006093260722546395,True,0.0005028595527116698,0.00044294408651560145,0.986
funnel2,grid,512,1,True,0,0.0017374712136903332,0.0017178757090705334,True,0.00014841960424131313,0.00015806763280781487,0.986
funnel2,grid,512,1,False,1,0.006442597518415335,0.00644259751841523,True,8.552658427926193e-05,0.0001358338266714483,0.996
funnel2,grid,512,1,True,1,0.0021936398013619575,0.0021936398013619315,True,9.753975519251066e-06,1.1883608273482159e-05,0.996
funnel2,grid,512,1,False,2,0.5052729919896878,0.5032025448397125,True,0.5921161337128967,0.48346079875976605,0.488
funnel2,grid,512,1,True,2,0.504787791008755,0.5027173563968217,True,0.5921127585807163,0.4834580429131399,0.488
funnel2,grid,512,1,False,3,0.006350525965776484,0.006350525965776428,True,0.00010505989461991817,9.164934694147756e-05,1.0
funnel2,grid,512,1,True,3,0.0038831878716053094,0.003883187871605286,True,4.184029439638476e-05,3.546287270747163e-05,1.0
funnel2,grid,512,1,False,4,0.5055320547841039,0.5034618041096476,True,0.4084318083003876,0.33348317561887453,0.494
funnel2,grid,512,1,True,4,0.5046132588663902,0.5025530822131125,True,0.4095353715333568,0.3343842307154417,0.494
funnel2,grid,512,1,False,5,0.010780524833406453,0.010780524833399478,True,0.00023670297395993325,0.00019776824897393838,0.951
funnel2,grid,512,1,True,5,0.007864362318664707,0.007864362318660615,True,0.00017268563145238146,0.0001411479526836049,0.951
funnel2,grid,512,2,False,0,0.013072716400331296,0.01307271640031515,True,0.0004141185382394043,0.000341406752587426,0.986
funnel2,grid,512,2,True,0,0.008921023400382394,0.00892102340033959,True,0.0002456273054598164,0.00020069599922207938,0.986
funnel2,grid,512,2,False,1,0.5037195902010149,0.5017215866765526,True,0.27945487526708257,0.2281740395402187,0.5
funnel2,grid,512,2,True,1,0.4927520298784164,0.49102846257289784,True,0.31251347533324336,0.2551661923211605,0.5
funnel2,grid,512,2,False,2,0.5066673673585321,0.5045968531307389,True,1.1477311327477067,0.9371185463945142,0.498
funnel2,grid,512,2,True,2,0.5055128198181431,0.5034424895491075,True,1.1477034889075592,0.9370959747822293,0.498
funnel2,grid,512,2,False,3,0.015397208319046138,0.015397208309889965,True,0.00039972193883558226,0.0006522489738333185,0.998
funnel2,grid,512,2,True,3,0.003946621734641667,0.0039466217346330115,True,2.1763465451086698e-05,3.509291992482739e-05,0.998
funnel2,grid,512,2,False,4,0.005672047902467704,0.005672047902467628,True,8.544291660320871e-05,7.276275527841653e-05,0.994
funnel2,grid,512,2,True,4,0.004077287195908568,0.004077287195908537,True,5.9785298800719963e-05,4.89741282810483e-05,0.994
funnel2,grid,512,2,False,5,0.3814898403162093,0.38051098492198315,True,0.45342683297394465,0.3702215111584479,0.5
funnel2,grid,512,2,True,5,0.36955575391644024,0.36861395476910147,True,0.44816565906771894,0.36592578059262576,0.5
funnel2,grid,512,5,False,0,0.5062304172067552,0.5041599470878715,True,0.1977243375206038,0.16144125131065282,0.729
funnel2,grid,512,5,True,0,0.5052850751567408,0.5032161068977564,True,0.19748360018250583,0.16124468527749475,0.729
funnel2,grid,512,5,False,1,0.012537985797003848,0.012537985797001532,True,0.00023117567448553594,0.0002055419100471354,1.0
funnel2,grid,512,5,True,1,0.007767044360953721,0.007767044360953421,True,0.0001299952111079175,0.00010667008676139851,1.0
funnel2,grid,512,5,False,2,0.006344699867749331,0.006344699867749288,True,0.00011077749503509462,9.246427095564873e-05,0.986
funnel2,grid,512,5,True,2,0.005061058123859678,0.005061058123859608,True,8.589414336129818e-05,7.027168003921163e-05,0.986
funnel2,grid,512,5,False,3,0.5055359693164206,0.5034674018803245,True,1.1110724073363336,0.9071868348605261,0.5
funnel2,grid,512,5,True,3,0.5047939129408995,0.5027344167512311,True,1.1090436855718644,0.9055303791497854,0.5
funnel2,grid,512,5,False,4,0.34718212515079544,0.3462400210479808,True,0.1135667312983474,0.09272689533027915,0.631
funnel2,grid,512,5,True,4,0.32602467188256296,0.3251030329157736,True,0.05968627280835058,0.04873372431086838,0.631
funnel2,grid,512,5,False,5,0.43574487816683566,0.43474150231638975,True,0.023148319941591302,0.01907577525128713,0.75
funnel2,grid,512,5,True,5,0.2911434659691525,0.2904297562804808,True,0.2600277231201115,0.2123118977439802,0.75
dwell2,grid,8,1,False,0,0.06213332455937937,0.06213308069432315,True,0.005806843086914883,0.005696046868016504,1.0
dwell2,grid,8,1,True,0,0.023740798615408974,0.023740798613294777,True,0.0005367114323736097,0.0005742788128111603,1.0
dwell2,grid,8,1,False,1,0.3152269756439242,0.31310983638795736,True,0.1170796768175491,0.13977060589475898,0.75
dwell2,grid,8,1,True,1,0.2562428395436835,0.255424742777732,True,0.017169377681508217,0.020823348098937027,0.75
