family,K,T,rep,sw2,sw2_dbl,dbl_pass,sw2_baseline
funnel2,32,1,3,71.26051226679408,139.49257331603806,False,2.569549678677114
funnel2,32,1,4,31.47193696268087,59.10367971994903,False,0.08508990365085878
funnel2,32,1,5,381.7071520061206,163.67729103208796,False,1894.0309340243994
funnel2,128,1,0,6.873097894386753,11.637386180665388,False,10.456456351780332
funnel2,128,1,1,2.1999775005934694,1.9234017284114673,True,1.729156108876634
funnel2,128,1,2,385.73423929442026,104.13815032414252,False,42.70245941986076
funnel2,128,1,3,0.13873019816810706,0.2344247434424594,False,0.09705949438205269
funnel2,128,1,4,97.1232027677344,39.31187929219874,False,0.11138656495995905
funnel2,128,1,5,146.80022657177813,568.1613668001232,False,1937.3924811909046
funnel2,512,1,0,0.004680097575692638,0.005217906841194053,True,0.009724962667607558
funnel2,512,1,1,0.012540891967689104,0.045981429267437965,False,0.022778014619481216
funnel2,512,1,2,6.836854820183894,2.8368040544084963,False,2.9622812431413856
funnel2,512,1,3,2.325541666216166,0.8883559019066516,False,5.624366806068917
funnel2,512,1,4,22.70111748720469,169.44417741558354,False,0.1936634047776165
funnel2,512,1,5,31.806599635336926,7.511025743844184,False,180.98768843866785
dwell2,8,1,0,0.0010466756072946327,0.00045699071610115515,True,0.0013908065024944942
dwell2,8,1,1,0.0021207144979776254,0.0013536593389466508,True,0.0032201946264523666
dwell2,8,1,2,0.0015713918106546522,0.0006444702193247527,True,0.0028484161221694563
dwell2,8,1,3,0.001122602205888399,0.0006803244763604081,True,0.0020218678792378007
dwell2,8,1,4,0.0025277011579892573,0.0008202879301508965,True,0.005375709826650353
dwell2,8,1,5,0.008062704177456748,0.0014825142210337255,True,0.009481530578240319
dwell2,32,1,0,0.0024315247234286694,0.021177424927450905,True,0.01140765514957055
dwell2,32,1,1,0.0008330653887326279,0.0006963866795104466,True,0.0022363025756486
dwell2,32,1,2,0.018251788324743005,0.001572060350832339,True,0.0007680995259742097
dwell2,32,1,3,0.0009961340887153123,0.0003413351053420642,True,0.0010425964633452316
dwell2,32,1,4,0.0011434413289705485,0.0009292455271488549,True,0.012142770177932896
dwell2,32,1,5,0.004062014000972806,0.0024134283885550722,True,0.000666740445120686
dwell2,128,1,0,0.0024043825687654593,0.0007939082288529939,True,0.0037347294675789122
dwell2,128,1,1,0.012778912676751034,0.00037587304727979194,True,0.005322558385768297
dwell2,128,1,2,0.001570319709490463,0.0031216953324168886,True,0.0037933989469384395
dwell2,128,1,3,0.0006131806450041828,0.0005148153162557977,True,0.0010206365444474373
dwell2,128,1,4,0.0019537063881705416,0.00042145493919541955,True,0.0019420552284563784
dwell2,128,1,5,0.0033837558800442606,0.001370603227856987,True,0.009257964042905485
dwell2,512,1,0,0.0018431492970566086,0.0005090458593520113,True,0.0007468984146132962
dwell2,512,1,1,0.00643220698324839,0.005437827810849801,True,0.0012359108616209575
dwell2,512,1,2,0.0050035037105991675,0.0006808557442892506,True,0.003387449782128205
dwell2,512,1,3,0.004258732200564286,0.007565860530547472,True,0.0035797286319743005
dwell2,512,1,4,0.0012418069929315731,0.0007764377361436922,True,0.0006297005903882496
dwell2,512,1,5,0.001257313445155727,0.00040217583201201034,True,0.0007000080563203837
