family,kind,d,eps,ess_cf,d2_cf,ess_emp,ess_emp_half,ess_dbl_pass,relsd_analytic,logz_emp,logz_dbl_pass,logz_bias_1e4,logz_sd_1e4,seconds,note
funnel,v_scale,4,0.15,0.9698113677414488,0.0306536926416498,0.9699155794841424,0.9698859855861004,True,0.0002950366040826,0.0003739593576561,True,3.471205088921181e-05,0.0019598303590982,0.92,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,4,0.3,0.9128549479610364,0.0911782850932904,0.9129613045955732,0.912616750896716,True,0.0004768556207574,1.2960301978282018e-05,True,-0.0001679933238015,0.0029093620018188,0.99,1-dim mismatch (v only): d-independent by construction
funnel,v_scale,4,0.5,0.8314794192830981,0.1845487319686447,0.8312767888064403,0.8308944576142111,True,0.0006548809178953,-0.000283404663504,True,0.0005672149779985,0.0044810522370602,0.92,1-dim mismatch (v only): d-independent by construction
funnel,gauss_proposal,4,,,,0.0001640241631211,0.0002021761385228,True,inf,-0.0110020043771008,False,-0.1507777625575056,0.4857276618437332,1.0,E[w^2]=inf for ANY Gaussian proposal vs funnel: certificate undefined
gaussian,shift,8,0.02,0.9968051145430328,0.0032,0.996805984280372,0.9968123520474492,True,0.0001135000909545,3.448835449226806e-05,True,6.45733269085369e-05,0.0006105289341431,2.0,
gaussian,shift,8,0.05,0.9801986733067553,0.02,0.980168828948385,0.9801964551175324,True,0.0002885949889983,-7.89621754648806e-06,True,-9.919646430962104e-05,0.0014726751120859,2.0,
gaussian,shift,8,0.1,0.9231163463866358,0.08,0.9233182256208696,0.922947110407856,True,0.0006141072905738,-0.000428013567209,True,-0.0001627838888305,0.0028278043216872,2.01,
gaussian,shift,8,0.15,0.835270211411272,0.18,0.8358853560606371,0.8345499503105769,True,0.0010268559833997,-0.0004295772003199,True,-0.000408023104966,0.0042617579876717,1.84,
gaussian,shift,8,0.2,0.7261490370736908,0.3200000000000001,0.7248739372187424,0.7256827168381619,True,0.0016114092359079,0.0012201370479303,True,-9.856520178736616e-05,0.0065770747441708,1.93,
gaussian,shift,8,0.3,0.4867522559599717,0.72,0.4860624902305598,0.4850321808442239,True,0.0041005210863513,-0.0017538659938711,True,-0.000853903638596,0.0101649216455446,2.0,
gaussian,shift,8,0.5,0.1353352832366127,2.0,0.1308970524708501,0.135814767867045,True,0.0545889914455444,0.0004414896031796,True,-0.0031616009001188,0.0242775137772132,1.92,
gaussian,shift,8,0.7,0.0198410947443702,3.92,0.0217328010257402,0.0233616310171346,False,2.540204636992298,0.0027341638315121,True,-0.0098823218153118,0.0623553113419969,1.91,
gaussian,shift,8,1.0,0.0003354626279025,8.0,0.0023234330695415,0.0007270043129359,False,8886.110520507817,-0.0522422342021346,False,-0.0685108484970794,0.2044575122999194,1.83,
gaussian,scale,8,-0.3,0.444074305427022,0.8117633759867605,0.4526611029954945,0.4507771761159573,True,inf,-0.0005305511117832,True,-0.0005887042451512,0.0109820690821375,1.91,
gaussian,scale,8,-0.2,0.7724761962890621,0.2581540845502852,0.7707382485809132,0.7713460670644089,True,0.0030818176454813,0.0009619713053208,True,0.0009482084211083,0.0060211510980599,1.91,
gaussian,scale,8,-0.1,0.951524275217153,0.0496900799942286,0.9514642511213924,0.9515059359078988,True,0.0005427138026666,5.558410530248637e-05,True,0.0002184931138693,0.0022230441062444,1.91,
gaussian,scale,8,-0.05,0.988965622787893,0.0110957075309005,0.9889530139401466,0.9889415279103642,True,0.0002257107372591,0.0001851765464948,True,-0.0001695832458742,0.0011788688523191,1.9,
gaussian,scale,8,0.05,0.9909605099462008,0.0090805941381566,0.99097128368698,0.990982110826678,True,0.0001837180438534,0.0001321988368161,True,-1.6864766732282987e-06,0.0009977774391762,1.86,
